소분류명,상품명,영문상품명,판매가
전메뉴,Cover Charge,,"5000"
BLENDED,조니워커 블랙,Jonnie walker black 30ml,"8000"
BLENDED,조니워커 더블블랙,Jonnie walker double black 30ml,"9000"
BOURBON&RYE,놉 크릭,Knob Creek 30ml,"10000"
칵테일,피트하이볼,,"15000"
칵테일,버번밀크티,,"15000"
싱글몰트,벤리악 스모키 12년,,"13000"
BOURBON&RYE,와일드터키 8년,,"9000"
Highland,글렌모렌지 라싼타,,"14000"
Highland,글렌모렌지 넥타도르,,"16000"
Speyside,글렌피딕 15년,,"16000"
Speyside,글렌피딕 18년,,"26000"
Speyside,글렌리벳 12년,,"12000"
Speyside,글렌리벳 18년,,"28000"
Speyside,글렌그란트 12년,,"11000"
Highland,글렌드로낙 12년,,"13000"
Speyside,글렌로티스 WMC,,"19000"
Speyside,글렌알라키 12년,,"15000"
Speyside,글렌파클라스 10년,,"13000"
Speyside,글렌파클라스 15년,,"23000"
Highland,달모어 12년,,"14000"
Highland,달모어 15년,,"28000"
Islay,라프로익 10년,,"11000"
Islay,라프로익 쿼터캐스크,,"12000"
Speyside,몰트락 16년,,"16000"
Islay,라가불린 16년,,"23000"
ETC,아란 10년,,"13000"
ETC,아란 쿼터캐스크,,"16000"
Highland,오반 14년,,"17000"
Islay,아드벡 10년,,"13000"
Islay,아드벡 위비스티,,"10000"
Highland,달위니 15년,,"15000"
Speyside,크래건모어 12년,,"12000"
Speyside,발베니 14년,,"20000"
Islay,보모어 12년,,"10000"
Islay,브룩라디 스코티쉬 발리,,"14000"
Lowland,오큰토션 소비뇽블랑,,"250000"
Speyside,아벨라워 12년,,"14000"
Speyside,글렌알라키 12년,,"230000"
Speyside,글렌알라키 12년,,"13000"
Campbeltown,글렌스코시아 더블,,"14000"
Speyside,아벨라워 아부나흐,,"26000"
Speyside,맥캘란 12년 더블캐스크,,"13000"
Speyside,맥캘란 12년 쉐리캐스크,,"14000"
Speyside,맥캘란 18년 쉐리캐스크,,"40000"
BOURBON&RYE,사가모어 CS,,"20000"
BOURBON&RYE,사가모어 더블오크,,"16000"
ETC,스타워드 포티스,,"16000"
ETC,스타워드 진저비어 캐스크,,"22000"
Lowland,오켄토션 12년,,"10000"
Lowland,오켄토션 쓰리오크,,"16000"
Lowland,오켄토션 아메리칸오크,,"9000"
